z_nm,phi_V
4.782125000000001,0.0
4.7905,0.0
4.798875000000001,0.0
4.80725,0.0
4.815625000000001,0.0
4.824,0.0
4.832375,0.0
4.84075,0.0
4.849125,0.0
4.8575,0.0
4.865875,0.0
4.87425,0.0
4.882625,0.0
4.891,0.0
4.899375,0.0
4.90775,0.0
4.916125,0.0
4.9245,0.0
4.932875,0.0
4.94125,0.0
4.949625,0.0
4.958,0.0
4.966375,0.0
4.97475,0.0
4.983125,0.0
4.9915,0.0
4.999875,0.0
5.00825,0.0
5.016625,0.0
5.025,0.0
5.0333749999999995,0.0
5.04175,0.0
5.0501249999999995,0.0
5.0585,0.0
5.066875,0.0
5.0752500000000005,0.0
5.083625,0.0
5.0920000000000005,0.0
5.100375,0.0
5.108750000000001,0.0
5.117125,0.0
5.1255,0.0
5.133875,0.0
5.14225,0.0
5.150625000000001,0.0
5.159,0.0
5.167375000000001,0.0
5.17575,0.0
5.184125000000001,0.0
5.1925,0.0
5.200875000000001,0.0
5.20925,0.0
5.217625,0.0
5.226,0.0
5.234375,0.0
5.24275,0.0
5.251125,0.0
5.2595,0.0
5.267875,0.0
5.27625,0.0
5.284625,0.0
5.293,0.0
5.301375,0.0
5.30975,0.0
5.318125,0.0
5.326499999999999,0.0
5.334875,0.0
5.343249999999999,0.0
5.351625,0.0
5.359999999999999,0.0
5.368375,0.0
5.37675,0.0
5.385125,0.0
5.3935,0.0
5.401875,0.0
5.4102500000000004,0.0
5.418625,0.0
5.4270000000000005,0.0
5.435375,0.0
5.4437500000000005,0.0
5.452125,0.0
5.460500000000001,0.0
5.468875,0.0
5.477250000000001,0.0
5.485625,0.0
5.494000000000001,0.0
5.502375,0.0
5.51075,0.0
5.519125,0.0
5.5275,0.0
5.535875,0.0
5.54425,0.0
5.552625,0.0
5.561,0.0
5.569375,0.0
5.57775,0.0
5.586125000000001,0.0
5.5945,0.0
5.602875,0.0
5.61125,0.0
5.619625,0.0
5.628,0.0
5.636375,0.0
5.64475,0.0
5.653125,0.0
5.6615,0.0
5.669875,0.0
5.67825,0.0
5.686625,0.0
5.695,0.0
5.703375,0.0
5.711749999999999,0.0
5.720125,0.0
5.7284999999999995,0.0
5.736875,0.0
5.7452499999999995,0.0
5.753625,0.0
5.762,0.0
5.7703750000000005,0.0
5.77875,0.0
5.7871250000000005,0.0
5.7955000000000005,0.0
5.803875,0.0
5.812250000000001,0.0
5.820625,0.0
5.829000000000001,0.0
5.837375,0.0
5.845750000000001,0.0
5.854125,0.0
5.862500000000001,0.0
5.870875,0.0
5.879250000000001,0.0
5.887625,0.0
5.896,0.0
5.904375,0.0
5.91275,0.0
5.921125,0.0
5.9295,0.0
5.937875,0.0
5.94625,0.0
5.954625,0.0
5.963,0.0
5.971375,0.0
5.97975,0.0
5.988125,0.0
5.9965,0.0
6.004875,0.0
6.01325,0.0
6.021625,0.0
6.03,0.0
6.038375,0.0
6.04675,0.0
6.055125,0.0
6.0635,0.0
6.071875,0.0
6.08025,0.0
6.088625,0.0
6.0969999999999995,0.0
6.105375,0.0
6.11375,0.0
6.1221250000000005,0.0
6.1305,0.0
6.1388750000000005,0.0
6.14725,0.0
6.155625000000001,0.0
6.164,0.0
6.172375000000001,0.0
6.18075,0.0
6.189125,0.0
6.1975,0.0
6.205875,0.0
6.21425,0.0
6.222625,0.0
6.231000000000001,0.0
6.239375,0.0
6.247750000000001,0.0
6.256125,0.0
6.264500000000001,0.0
6.272875,0.0
6.28125,0.0
6.289625,0.0
6.298,0.0
6.306375,0.0
6.31475,0.0
6.323125,0.0
6.3315,0.0
6.339875,0.0
6.34825,0.0
6.356625,0.0
6.365,0.0
6.373375,0.0
6.38175,0.0
